Date_(MM/DD/YYYY),Time_(HH:mm:ss),Depth_m,Pressure_psi a,Sal_psu,Temp_C,Vertical_Position_m
2/27/24,16:23:53,2.04,2.97,34.73,20.137,2.038
2/27/24,16:23:54,2.04,2.97,34.73,20.137,2.045
2/27/24,16:23:55,2.04,2.971,34.73,20.137,2.051
2/27/24,16:23:56,2.04,2.97,34.73,20.136,2.042
2/27/24,16:23:57,2.04,2.97,34.73,20.136,2.042
2/27/24,16:23:58,2.04,2.97,34.73,20.136,2.034
2/27/24,16:23:59,2.04,2.97,34.73,20.136,2.039
2/27/24,16:24:00,2.04,2.97,34.73,20.137,2.047
2/27/24,16:24:01,2.04,2.97,34.73,20.137,2.038
2/27/24,16:24:02,2.04,2.97,34.73,20.137,2.032
2/27/24,16:24:03,2.04,2.97,34.73,20.137,2.044
2/27/24,16:24:04,2.04,2.97,34.73,20.137,2.033
2/27/24,16:24:05,2.04,2.97,34.74,20.138,2.042
2/27/24,16:24:06,2.04,2.97,34.74,20.138,2.045
2/27/24,16:24:07,2.04,2.97,34.74,20.138,2.037
2/27/24,16:24:08,2.04,2.97,34.74,20.138,2.041
2/27/24,16:24:09,2.04,2.97,34.74,20.138,2.041
2/27/24,16:24:10,2.04,2.97,34.74,20.138,2.039
2/27/24,16:24:11,2.04,2.97,34.74,20.139,2.035
2/27/24,16:24:12,2.04,2.97,34.74,20.139,2.039
2/27/24,16:24:13,2.04,2.97,34.74,20.139,2.042
2/27/24,16:24:14,2.04,2.971,34.74,20.139,2.041
2/27/24,16:24:15,2.041,2.971,34.74,20.139,2.053
2/27/24,16:24:16,2.04,2.971,34.74,20.139,2.04
2/27/24,16:24:17,2.04,2.971,34.74,20.138,2.034
2/27/24,16:24:18,2.04,2.971,34.74,20.138,2.038
2/27/24,16:24:19,2.041,2.971,34.74,20.138,2.051
2/27/24,16:24:20,2.041,2.971,34.74,20.138,2.055
2/27/24,16:24:21,2.041,2.971,34.74,20.137,2.042
2/27/24,16:24:22,2.04,2.971,34.74,20.137,2.037
2/27/24,16:24:23,2.041,2.971,34.74,20.137,2.045
2/27/24,16:24:24,2.041,2.971,34.74,20.137,2.041
2/27/24,16:24:25,2.041,2.971,34.74,20.137,2.043
2/27/24,16:24:26,2.041,2.971,34.74,20.137,2.037
2/27/24,16:24:27,2.041,2.971,34.74,20.137,2.04
2/27/24,16:24:28,2.041,2.972,34.74,20.137,2.041
2/27/24,16:24:29,2.041,2.972,34.74,20.137,2.049
2/27/24,16:24:30,2.041,2.972,34.74,20.137,2.037
2/27/24,16:24:31,2.041,2.971,34.74,20.137,2.037
2/27/24,16:24:32,2.041,2.972,34.74,20.137,2.045
2/27/24,16:24:33,2.041,2.971,34.74,20.137,2.041
2/27/24,16:24:34,2.041,2.971,34.74,20.137,2.041
2/27/24,16:24:35,2.041,2.971,34.74,20.138,2.041
2/27/24,16:24:36,2.041,2.972,34.74,20.138,2.044
2/27/24,16:24:37,2.041,2.972,34.74,20.138,2.045
2/27/24,16:24:38,2.041,2.972,34.75,20.137,2.045
2/27/24,16:24:39,2.041,2.972,34.75,20.138,2.037
2/27/24,16:24:40,2.041,2.972,34.75,20.138,2.031
2/27/24,16:24:41,2.041,2.972,34.75,20.138,2.045
2/27/24,16:24:42,2.041,2.972,34.75,20.138,2.049
2/27/24,16:24:43,2.041,2.972,34.75,20.138,2.037
2/27/24,16:24:44,2.041,2.972,34.75,20.138,2.04
2/27/24,16:24:45,2.041,2.972,34.75,20.138,2.042
2/27/24,16:24:46,2.041,2.972,34.75,20.138,2.043
2/27/24,16:24:47,2.041,2.972,34.75,20.138,2.044
2/27/24,16:24:48,2.041,2.972,34.75,20.138,2.041
2/27/24,16:24:49,2.041,2.972,34.75,20.138,2.039
2/27/24,16:24:50,2.041,2.972,34.75,20.138,2.041
2/27/24,16:24:51,2.042,2.972,34.75,20.138,2.051
2/27/24,16:24:52,2.041,2.972,34.75,20.138,2.048
2/27/24,16:24:53,2.041,2.972,34.75,20.138,2.042
2/27/24,16:24:54,2.041,2.972,34.75,20.138,2.038
2/27/24,16:24:55,2.042,2.973,34.75,20.138,2.045
2/27/24,16:24:56,2.042,2.973,34.75,20.138,2.05
2/27/24,16:24:57,2.042,2.973,34.75,20.138,2.041
2/27/24,16:24:58,2.041,2.972,34.75,20.138,2.036
2/27/24,16:24:59,2.041,2.972,34.75,20.138,2.045
2/27/24,16:25:00,2.041,2.972,34.75,20.138,2.041
2/27/24,16:25:01,2.041,2.972,34.75,20.138,2.034
2/27/24,16:25:02,2.041,2.972,34.75,20.138,2.037
2/27/24,16:25:03,2.041,2.971,34.75,20.138,2.033
2/27/24,16:25:04,2.041,2.972,34.76,20.138,2.042
2/27/24,16:25:05,2.041,2.972,34.76,20.138,2.053
2/27/24,16:25:06,2.041,2.972,34.76,20.138,2.036
2/27/24,16:25:07,2.041,2.972,34.76,20.138,2.038
2/27/24,16:25:08,2.041,2.972,34.76,20.137,2.038
2/27/24,16:25:09,2.041,2.972,34.76,20.137,2.042
2/27/24,16:25:10,2.041,2.971,34.76,20.137,2.042
2/27/24,16:25:11,2.041,2.971,34.76,20.137,2.04
2/27/24,16:25:12,2.041,2.972,34.76,20.137,2.038
2/27/24,16:25:13,2.041,2.972,34.76,20.137,2.041
2/27/24,16:25:14,2.041,2.972,34.76,20.137,2.052
2/27/24,16:25:15,2.041,2.971,34.76,20.137,2.038
2/27/24,16:25:16,2.04,2.971,34.76,20.137,2.034
2/27/24,16:25:17,2.041,2.971,34.76,20.137,2.042
2/27/24,16:25:18,2.041,2.972,34.76,20.137,2.041
2/27/24,16:25:19,2.041,2.971,34.76,20.137,2.046
2/27/24,16:25:20,2.041,2.971,34.76,20.137,2.04
2/27/24,16:25:21,2.041,2.971,34.76,20.137,2.036
2/27/24,16:25:22,2.041,2.971,34.76,20.137,2.045
2/27/24,16:25:23,2.041,2.971,34.76,20.137,2.049
2/27/24,16:25:24,2.041,2.972,34.76,20.138,2.044
2/27/24,16:25:25,2.041,2.972,34.76,20.138,2.043
2/27/24,16:25:26,2.041,2.971,34.76,20.138,2.037
2/27/24,16:25:27,2.041,2.971,34.76,20.138,2.038
2/27/24,16:25:28,2.041,2.971,34.76,20.138,2.041
2/27/24,16:25:29,2.041,2.971,34.76,20.138,2.039
2/27/24,16:25:30,2.04,2.971,34.76,20.138,2.04
2/27/24,16:25:31,2.04,2.971,34.76,20.138,2.041
2/27/24,16:25:32,2.041,2.971,34.76,20.138,2.049
2/27/24,16:25:33,2.04,2.971,34.76,20.138,2.038
2/27/24,16:25:34,2.04,2.97,34.76,20.138,2.04
2/27/24,16:25:35,2.04,2.97,34.76,20.138,2.036
2/27/24,16:25:36,2.04,2.97,34.76,20.138,2.041
2/27/24,16:25:37,2.04,2.97,34.76,20.138,2.047
2/27/24,16:25:38,2.04,2.97,34.76,20.138,2.04
2/27/24,16:25:39,2.04,2.971,34.76,20.138,2.04
2/27/24,16:25:40,2.04,2.971,34.76,20.138,2.04
2/27/24,16:25:41,2.041,2.971,34.76,20.138,2.05
2/27/24,16:25:42,2.04,2.971,34.76,20.138,2.039
2/27/24,16:25:43,2.04,2.971,34.76,20.138,2.034
2/27/24,16:25:44,2.04,2.971,34.76,20.138,2.037
2/27/24,16:25:45,2.04,2.971,34.76,20.138,2.038
2/27/24,16:25:46,2.04,2.971,34.76,20.138,2.047
2/27/24,16:25:47,2.04,2.971,34.76,20.138,2.038
2/27/24,16:25:48,2.04,2.971,34.76,20.138,2.037
2/27/24,16:25:49,2.04,2.971,34.76,20.138,2.042
2/27/24,16:25:50,2.041,2.971,34.76,20.138,2.051
2/27/24,16:25:51,2.04,2.971,34.76,20.138,2.037
2/27/24,16:25:52,2.04,2.97,34.76,20.138,2.04
2/27/24,16:25:53,2.04,2.97,34.76,20.138,2.038
2/27/24,16:25:54,2.04,2.971,34.76,20.138,2.04
2/27/24,16:25:55,2.04,2.971,34.76,20.138,2.047
2/27/24,16:25:56,2.04,2.97,34.76,20.138,2.038
2/27/24,16:25:57,2.04,2.97,34.76,20.138,2.034
2/27/24,16:25:58,2.04,2.971,34.76,20.138,2.043
2/27/24,16:25:59,2.041,2.971,34.76,20.138,2.051
2/27/24,16:26:00,2.04,2.97,34.76,20.138,2.037
2/27/24,16:26:01,2.04,2.97,34.76,20.138,2.038
2/27/24,16:26:02,2.04,2.97,34.76,20.138,2.043
2/27/24,16:26:03,2.04,2.97,34.76,20.138,2.039
2/27/24,16:26:04,2.04,2.97,34.76,20.137,2.037
2/27/24,16:26:05,2.04,2.97,34.76,20.137,2.039
2/27/24,16:26:06,2.04,2.97,34.76,20.137,2.037
2/27/24,16:26:07,2.04,2.97,34.76,20.137,2.044
2/27/24,16:26:08,2.04,2.971,34.76,20.137,2.05
2/27/24,16:26:09,2.04,2.97,34.76,20.137,2.04
2/27/24,16:26:10,2.04,2.971,34.76,20.137,2.041
2/27/24,16:26:11,2.04,2.971,34.76,20.137,2.045
2/27/24,16:26:12,2.04,2.971,34.76,20.137,2.041
2/27/24,16:26:13,2.041,2.971,34.76,20.137,2.046
2/27/24,16:26:14,2.041,2.971,34.76,20.137,2.044
2/27/24,16:26:15,2.04,2.971,34.76,20.137,2.036
2/27/24,16:26:16,2.04,2.971,34.76,20.137,2.04
2/27/24,16:26:17,2.041,2.971,34.76,20.137,2.049
2/27/24,16:26:18,2.04,2.971,34.76,20.137,2.038
2/27/24,16:26:19,2.04,2.971,34.76,20.138,2.035
2/27/24,16:26:20,2.041,2.971,34.76,20.138,2.045
2/27/24,16:26:21,2.041,2.971,34.76,20.138,2.042
2/27/24,16:26:22,2.041,2.971,34.76,20.138,2.042
2/27/24,16:26:23,2.04,2.971,34.76,20.138,2.036
2/27/24,16:26:24,2.04,2.971,34.76,20.138,2.032
2/27/24,16:26:25,2.04,2.971,34.76,20.138,2.041
2/27/24,16:26:26,2.041,2.971,34.76,20.138,2.049
2/27/24,16:26:27,2.04,2.971,34.76,20.138,2.037
2/27/24,16:26:28,2.04,2.971,34.76,20.138,2.037
2/27/24,16:26:29,2.04,2.971,34.76,20.138,2.038
2/27/24,16:26:30,2.04,2.971,34.76,20.138,2.042
2/27/24,16:26:31,2.041,2.971,34.76,20.138,2.047
2/27/24,16:26:32,2.04,2.971,34.76,20.138,2.037
2/27/24,16:26:33,2.04,2.97,34.76,20.138,2.034
2/27/24,16:26:34,2.04,2.971,34.76,20.138,2.042
2/27/24,16:26:35,2.041,2.971,34.76,20.138,2.048
2/27/24,16:26:36,2.04,2.971,34.76,20.138,2.039
2/27/24,16:26:37,2.04,2.971,34.76,20.139,2.045
2/27/24,16:26:38,2.041,2.971,34.76,20.139,2.04
2/27/24,16:26:39,2.04,2.971,34.76,20.139,2.038
2/27/24,16:26:40,2.04,2.971,34.76,20.139,2.043
2/27/24,16:26:41,2.04,2.971,34.76,20.139,2.037
2/27/24,16:26:42,2.04,2.97,34.76,20.139,2.036
2/27/24,16:26:43,2.04,2.971,34.76,20.139,2.041
2/27/24,16:26:44,2.041,2.971,34.76,20.139,2.046
2/27/24,16:26:45,2.04,2.971,34.76,20.139,2.044
2/27/24,16:26:46,2.04,2.97,34.76,20.139,2.034
2/27/24,16:26:47,2.04,2.97,34.76,20.139,2.037
2/27/24,16:26:48,2.04,2.97,34.76,20.139,2.041
2/27/24,16:26:49,2.04,2.97,34.76,20.139,2.047
2/27/24,16:26:50,2.04,2.97,34.76,20.138,2.035
2/27/24,16:26:51,2.04,2.97,34.76,20.138,2.036
2/27/24,16:26:52,2.04,2.97,34.76,20.138,2.043
2/27/24,16:26:53,2.04,2.97,34.76,20.138,2.043
2/27/24,16:26:54,2.04,2.97,34.76,20.138,2.039
2/27/24,16:26:55,2.039,2.97,34.76,20.138,2.041
2/27/24,16:26:56,2.04,2.97,34.76,20.138,2.035
2/27/24,16:26:57,2.04,2.97,34.76,20.138,2.04
2/27/24,16:26:58,2.039,2.969,34.76,20.138,2.045
2/27/24,16:26:59,2.039,2.969,34.76,20.138,2.036
2/27/24,16:27:00,2.039,2.969,34.76,20.138,2.034
2/27/24,16:27:01,2.039,2.969,34.76,20.138,2.041
2/27/24,16:27:02,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:03,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:04,2.039,2.969,34.76,20.138,2.04
2/27/24,16:27:05,2.039,2.969,34.76,20.138,2.037
2/27/24,16:27:06,2.039,2.969,34.76,20.138,2.038
2/27/24,16:27:07,2.039,2.969,34.76,20.138,2.04
2/27/24,16:27:08,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:09,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:10,2.039,2.969,34.76,20.138,2.043
2/27/24,16:27:11,2.039,2.969,34.76,20.138,2.04
2/27/24,16:27:12,2.039,2.969,34.76,20.138,2.045
2/27/24,16:27:13,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:14,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:15,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:16,2.039,2.969,34.76,20.138,2.046
2/27/24,16:27:17,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:18,2.039,2.968,34.76,20.138,2.039
2/27/24,16:27:19,2.039,2.969,34.76,20.138,2.037
2/27/24,16:27:20,2.039,2.969,34.76,20.138,2.044
2/27/24,16:27:21,2.039,2.969,34.76,20.138,2.044
2/27/24,16:27:22,2.039,2.969,34.76,20.138,2.038
2/27/24,16:27:23,2.039,2.968,34.76,20.138,2.035
2/27/24,16:27:24,2.039,2.968,34.76,20.137,2.039
2/27/24,16:27:25,2.039,2.969,34.76,20.137,2.048
2/27/24,16:27:26,2.039,2.968,34.76,20.137,2.038
2/27/24,16:27:27,2.038,2.968,34.76,20.137,2.037
2/27/24,16:27:28,2.039,2.969,34.76,20.137,2.043
2/27/24,16:27:29,2.039,2.969,34.76,20.137,2.04
2/27/24,16:27:30,2.039,2.968,34.76,20.137,2.037
2/27/24,16:27:31,2.038,2.968,34.76,20.137,2.037
2/27/24,16:27:32,2.038,2.968,34.76,20.137,2.034
2/27/24,16:27:33,2.038,2.968,34.76,20.137,2.038
2/27/24,16:27:34,2.039,2.969,34.76,20.138,2.05
2/27/24,16:27:35,2.039,2.968,34.76,20.137,2.036
2/27/24,16:27:36,2.039,2.968,34.76,20.138,2.039
2/27/24,16:27:37,2.039,2.969,34.76,20.138,2.04
2/27/24,16:27:38,2.039,2.969,34.76,20.138,2.04
2/27/24,16:27:39,2.039,2.969,34.76,20.138,2.042
2/27/24,16:27:40,2.039,2.969,34.76,20.138,2.037
2/27/24,16:27:41,2.039,2.969,34.76,20.138,2.036
2/27/24,16:27:42,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:43,2.039,2.969,34.76,20.138,2.05
2/27/24,16:27:44,2.039,2.969,34.76,20.138,2.037
2/27/24,16:27:45,2.039,2.969,34.76,20.138,2.033
2/27/24,16:27:46,2.039,2.969,34.76,20.138,2.039
2/27/24,16:27:47,2.039,2.969,34.76,20.138,2.049
2/27/24,16:27:48,2.039,2.969,34.76,20.138,2.046
2/27/24,16:27:49,2.039,2.969,34.76,20.138,2.043
2/27/24,16:27:50,2.039,2.969,34.76,20.138,2.035
2/27/24,16:27:51,2.039,2.969,34.76,20.138,2.04
2/27/24,16:27:52,2.039,2.969,34.76,20.138,2.046
2/27/24,16:27:53,2.039,2.968,34.76,20.138,2.038
2/27/24,16:27:54,2.039,2.969,34.76,20.138,2.049
2/27/24,16:27:55,2.039,2.969,34.76,20.138,2.042
2/27/24,16:27:56,2.039,2.969,34.76,20.138,2.038
2/27/24,16:27:57,2.039,2.969,34.76,20.138,2.038
2/27/24,16:27:58,2.039,2.969,34.76,20.138,2.04
2/27/24,16:27:59,2.039,2.969,34.76,20.138,2.039
2/27/24,16:28:00,2.039,2.969,34.76,20.138,2.042
2/27/24,16:28:01,2.039,2.969,34.76,20.138,2.041
2/27/24,16:28:02,2.039,2.969,34.76,20.138,2.048
2/27/24,16:28:03,2.039,2.969,34.76,20.138,2.049
2/27/24,16:28:04,2.039,2.969,34.76,20.138,2.038
2/27/24,16:28:05,2.039,2.969,34.76,20.138,2.038
2/27/24,16:28:06,2.039,2.969,34.76,20.138,2.041
2/27/24,16:28:07,2.04,2.97,34.76,20.138,2.043
2/27/24,16:28:08,2.04,2.97,34.76,20.138,2.045
2/27/24,16:28:09,2.04,2.97,34.76,20.138,2.04
2/27/24,16:28:10,2.04,2.97,34.76,20.138,2.036
2/27/24,16:28:11,2.04,2.97,34.76,20.138,2.037
2/27/24,16:28:12,2.04,2.97,34.76,20.138,2.047
2/27/24,16:28:13,2.04,2.97,34.76,20.138,2.038
2/27/24,16:28:14,2.039,2.969,34.76,20.138,2.033
2/27/24,16:28:15,2.04,2.97,34.76,20.138,2.044
2/27/24,16:28:16,2.04,2.97,34.76,20.138,2.041
2/27/24,16:28:17,2.04,2.97,34.76,20.138,2.036
2/27/24,16:28:18,2.04,2.97,34.76,20.138,2.039
2/27/24,16:28:19,2.04,2.97,34.76,20.138,2.038
2/27/24,16:28:20,2.04,2.97,34.76,20.138,2.036
2/27/24,16:28:21,2.039,2.969,34.76,20.138,2.033
2/27/24,16:28:22,2.039,2.969,34.76,20.138,2.033
2/27/24,16:28:23,2.039,2.969,34.76,20.138,2.039
2/27/24,16:28:24,2.039,2.969,34.76,20.138,2.041
2/27/24,16:28:25,2.039,2.969,34.76,20.138,2.04
2/27/24,16:28:26,2.039,2.969,34.76,20.138,2.044
2/27/24,16:28:27,2.039,2.969,34.76,20.138,2.04
2/27/24,16:28:28,2.039,2.969,34.76,20.138,2.037
2/27/24,16:28:29,2.039,2.969,34.76,20.138,2.04
2/27/24,16:28:30,2.04,2.97,34.76,20.138,2.05
2/27/24,16:28:31,2.039,2.969,34.76,20.138,2.037
2/27/24,16:28:32,2.039,2.969,34.76,20.138,2.033
2/27/24,16:28:33,2.039,2.969,34.76,20.138,2.036
2/27/24,16:28:34,2.039,2.969,34.76,20.138,2.038
2/27/24,16:28:35,2.039,2.969,34.76,20.138,2.044
2/27/24,16:28:36,2.039,2.969,34.76,20.138,2.039
2/27/24,16:28:37,2.039,2.968,34.76,20.138,2.038
2/27/24,16:28:38,2.039,2.969,34.76,20.138,2.038
2/27/24,16:28:39,2.039,2.969,34.76,20.139,2.049
2/27/24,16:28:40,2.039,2.969,34.76,20.139,2.038
2/27/24,16:28:41,2.039,2.968,34.76,20.139,2.034
2/27/24,16:28:42,2.039,2.969,34.76,20.139,2.041
2/27/24,16:28:43,2.039,2.969,34.76,20.139,2.042
2/27/24,16:28:44,2.038,2.968,34.76,20.139,2.035
2/27/24,16:28:45,2.038,2.968,34.76,20.14,2.032
2/27/24,16:28:46,2.038,2.968,34.76,20.14,2.041
2/27/24,16:28:47,2.038,2.968,34.76,20.14,2.041
2/27/24,16:28:48,2.039,2.968,34.76,20.14,2.048
2/27/24,16:28:49,2.038,2.968,34.76,20.14,2.036
2/27/24,16:28:50,2.038,2.968,34.76,20.14,2.031
2/27/24,16:28:51,2.039,2.968,34.76,20.14,2.045
2/27/24,16:28:52,2.039,2.969,34.76,20.14,2.049
2/27/24,16:28:53,2.038,2.968,34.76,20.14,2.034
2/27/24,16:28:54,2.038,2.968,34.76,20.14,2.037
2/27/24,16:28:55,2.039,2.968,34.76,20.14,2.035
2/27/24,16:28:56,2.039,2.968,34.76,20.141,2.038
2/27/24,16:28:57,2.038,2.968,34.76,20.141,2.042
2/27/24,16:28:58,2.038,2.968,34.76,20.141,2.036
2/27/24,16:28:59,2.038,2.968,34.76,20.141,2.031
2/27/24,16:29:00,2.039,2.969,34.76,20.141,2.043
2/27/24,16:29:01,2.039,2.969,34.76,20.14,2.049
2/27/24,16:29:02,2.039,2.969,34.76,20.14,2.041
2/27/24,16:29:03,2.039,2.969,34.76,20.14,2.041
2/27/24,16:29:04,2.039,2.969,34.76,20.14,2.036
2/27/24,16:29:05,2.039,2.969,34.76,20.14,2.04
2/27/24,16:29:06,2.039,2.969,34.76,20.14,2.047
2/27/24,16:29:07,2.039,2.969,34.76,20.139,2.039
2/27/24,16:29:08,2.039,2.969,34.76,20.139,2.034
2/27/24,16:29:09,2.039,2.969,34.76,20.139,2.042
2/27/24,16:29:10,2.039,2.969,34.76,20.139,2.038
2/27/24,16:29:11,2.039,2.969,34.76,20.139,2.041
2/27/24,16:29:12,2.039,2.969,34.76,20.139,2.042
2/27/24,16:29:13,2.039,2.969,34.77,20.138,2.039
2/27/24,16:29:14,2.039,2.969,34.77,20.138,2.041
2/27/24,16:29:15,2.039,2.969,34.77,20.138,2.046
2/27/24,16:29:16,2.039,2.969,34.77,20.138,2.036
2/27/24,16:29:17,2.039,2.969,34.77,20.138,2.037
2/27/24,16:29:18,2.039,2.969,34.77,20.138,2.041
2/27/24,16:29:19,2.039,2.97,34.77,20.138,2.036
2/27/24,16:29:20,2.039,2.969,34.77,20.138,2.044
2/27/24,16:29:21,2.039,2.969,34.77,20.138,2.036
2/27/24,16:29:22,2.039,2.969,34.77,20.138,2.034
2/27/24,16:29:23,2.039,2.97,34.77,20.138,2.041
2/27/24,16:29:24,2.04,2.97,34.77,20.138,2.048
2/27/24,16:29:25,2.039,2.969,34.77,20.138,2.035
2/27/24,16:29:26,2.039,2.969,34.77,20.138,2.029
2/27/24,16:29:27,2.039,2.969,34.77,20.138,2.035
2/27/24,16:29:28,2.039,2.969,34.77,20.138,2.038
2/27/24,16:29:29,2.039,2.969,34.77,20.138,2.042
2/27/24,16:29:30,2.039,2.969,34.77,20.138,2.038
2/27/24,16:29:31,2.039,2.969,34.77,20.138,2.037
2/27/24,16:29:32,2.039,2.969,34.77,20.138,2.041
2/27/24,16:29:33,2.039,2.969,34.77,20.138,2.051
2/27/24,16:29:34,2.039,2.969,34.77,20.138,2.041
2/27/24,16:29:35,2.039,2.969,34.77,20.138,2.04
2/27/24,16:29:36,2.039,2.969,34.77,20.138,2.036
2/27/24,16:29:37,2.039,2.97,34.77,20.138,2.043
2/27/24,16:29:38,2.039,2.969,34.77,20.138,2.044
2/27/24,16:29:39,2.039,2.969,34.77,20.137,2.037
2/27/24,16:29:40,2.039,2.969,34.77,20.137,2.035
2/27/24,16:29:41,2.039,2.969,34.77,20.137,2.037
2/27/24,16:29:42,2.039,2.969,34.77,20.137,2.046
2/27/24,16:29:43,2.039,2.969,34.77,20.137,2.039
2/27/24,16:29:44,2.039,2.969,34.77,20.137,2.04
2/27/24,16:29:45,2.039,2.969,34.77,20.137,2.041
2/27/24,16:29:46,2.039,2.969,34.77,20.137,2.042
2/27/24,16:29:47,2.039,2.968,34.77,20.137,2.035
2/27/24,16:29:48,2.039,2.968,34.77,20.137,2.037
2/27/24,16:29:49,2.039,2.969,34.77,20.137,2.043
2/27/24,16:29:50,2.039,2.969,34.77,20.137,2.039
2/27/24,16:29:51,2.039,2.969,34.77,20.137,2.049
2/27/24,16:29:52,2.039,2.968,34.77,20.137,2.035
2/27/24,16:29:53,2.039,2.968,34.77,20.137,2.04
2/27/24,16:29:54,2.039,2.969,34.77,20.137,2.037
2/27/24,16:29:55,2.039,2.969,34.77,20.137,2.039
2/27/24,16:29:56,2.039,2.968,34.77,20.137,2.045
2/27/24,16:29:57,2.039,2.968,34.77,20.137,2.04
2/27/24,16:29:58,2.039,2.968,34.77,20.137,2.036
2/27/24,16:29:59,2.039,2.968,34.77,20.137,2.037
2/27/24,16:30:00,2.039,2.969,34.77,20.137,2.05
2/27/24,16:30:01,2.039,2.969,34.77,20.137,2.039
2/27/24,16:30:02,2.039,2.969,34.77,20.137,2.042
2/27/24,16:30:03,2.039,2.969,34.77,20.137,2.036
2/27/24,16:30:04,2.039,2.969,34.77,20.137,2.038
2/27/24,16:30:05,2.039,2.969,34.77,20.138,2.043
2/27/24,16:30:06,2.039,2.969,34.77,20.137,2.034
2/27/24,16:30:07,2.039,2.969,34.77,20.137,2.036
2/27/24,16:30:08,2.039,2.969,34.77,20.138,2.041
2/27/24,16:30:09,2.039,2.969,34.77,20.138,2.049
2/27/24,16:30:10,2.039,2.969,34.77,20.138,2.036
2/27/24,16:30:11,2.039,2.969,34.77,20.138,2.038
2/27/24,16:30:12,2.039,2.969,34.77,20.138,2.038
2/27/24,16:30:13,2.039,2.969,34.77,20.138,2.04
